MODE,PROCESS_COUNT,BARSIZE,NUM_ITER,TIME_MS
INSTANT_WAIT,4,5000,100,0.000339
INSTANT_TEST,4,5000,100,0.000377
BLOCKING,5,5000,100,0.000263
INSTANT_WAIT,5,5000,100,0.000202
INSTANT_TEST,5,5000,100,0.000300
BLOCKING,6,5000,100,0.000239
INSTANT_WAIT,6,5000,100,0.000175
INSTANT_TEST,6,5000,100,0.000355
BLOCKING,2,5000,100,0.000438
INSTANT_WAIT,2,5000,100,0.000367
INSTANT_TEST,2,5000,100,0.000412
BLOCKING,3,5000,100,0.000315
INSTANT_WAIT,3,5000,100,0.000347
INSTANT_TEST,3,5000,100,0.000463
BLOCKING,4,5000,100,0.000368
INSTANT_WAIT,4,5000,100,0.000277
INSTANT_TEST,4,5000,100,0.000325
BLOCKING,5,5000,100,0.000212
INSTANT_WAIT,5,5000,100,0.000287
INSTANT_TEST,5,5000,100,0.000405
BLOCKING,6,5000,100,0.000231
INSTANT_WAIT,6,5000,100,0.000312
INSTANT_TEST,6,5000,100,0.000305
BLOCKING,2,5000,100,0.000473
INSTANT_WAIT,2,5000,100,0.000347
INSTANT_TEST,2,5000,100,0.000423
BLOCKING,3,5000,100,0.000501
INSTANT_WAIT,3,5000,100,0.000299
INSTANT_TEST,3,5000,100,0.000634
BLOCKING,4,5000,100,0.000288
INSTANT_WAIT,4,5000,100,0.000375
INSTANT_TEST,4,5000,100,0.000315
BLOCKING,5,5000,100,0.000209
INSTANT_WAIT,5,5000,100,0.000236
INSTANT_TEST,5,5000,100,0.000327
BLOCKING,6,5000,100,0.000259
INSTANT_WAIT,6,5000,100,0.000371
INSTANT_TEST,6,5000,100,0.000490
BLOCKING,2,5000,100,0.000356
INSTANT_WAIT,2,5000,100,0.000377
INSTANT_TEST,2,5000,100,0.000524
BLOCKING,3,5000,100,0.000318
INSTANT_WAIT,3,5000,100,0.000322
INSTANT_TEST,3,5000,100,0.000476
BLOCKING,4,5000,100,0.000289
INSTANT_WAIT,4,5000,100,0.000260
INSTANT_TEST,4,5000,100,0.000399
BLOCKING,5,5000,100,0.000218
INSTANT_WAIT,5,5000,100,0.000312
INSTANT_TEST,5,5000,100,0.000367
BLOCKING,6,5000,100,0.000300
INSTANT_WAIT,6,5000,100,0.000213
INSTANT_TEST,6,5000,100,0.000326
BLOCKING,2,5000,100,0.000394
INSTANT_WAIT,2,5000,100,0.000444
INSTANT_TEST,2,5000,100,0.000485
BLOCKING,3,5000,100,0.000337
INSTANT_WAIT,3,5000,100,0.000438
INSTANT_TEST,3,5000,100,0.000435
BLOCKING,4,5000,100,0.000385
INSTANT_WAIT,4,5000,100,0.000268
INSTANT_TEST,4,5000,100,0.000365
BLOCKING,5,5000,100,0.000327
INSTANT_WAIT,5,5000,100,0.000187
INSTANT_TEST,5,5000,100,0.000326
BLOCKING,6,5000,100,0.000371
INSTANT_WAIT,6,5000,100,0.000313
INSTANT_TEST,6,5000,100,0.000409
BLOCKING,2,5000,100,0.000442
INSTANT_WAIT,2,5000,100,0.000379
INSTANT_TEST,2,5000,100,0.000491
BLOCKING,3,5000,100,0.000292
INSTANT_WAIT,3,5000,100,0.000585
INSTANT_TEST,3,5000,100,0.000603
BLOCKING,4,5000,100,0.000389
INSTANT_WAIT,4,5000,100,0.000263
INSTANT_TEST,4,5000,100,0.000328
BLOCKING,5,5000,100,0.000238
INSTANT_WAIT,5,5000,100,0.000294
INSTANT_TEST,5,5000,100,0.000490
BLOCKING,6,5000,100,0.000250
INSTANT_WAIT,6,5000,100,0.000225
INSTANT_TEST,6,5000,100,0.000482
BLOCKING,2,5000,100,0.000395
INSTANT_WAIT,2,5000,100,0.000408
INSTANT_TEST,2,5000,100,0.000483
BLOCKING,3,5000,100,0.000306
INSTANT_WAIT,3,5000,100,0.000307
INSTANT_TEST,3,5000,100,0.000410
BLOCKING,4,5000,100,0.000272
INSTANT_WAIT,4,5000,100,0.000306
INSTANT_TEST,4,5000,100,0.000363
BLOCKING,5,5000,100,0.000320
INSTANT_WAIT,5,5000,100,0.000251
INSTANT_TEST,5,5000,100,0.000380
BLOCKING,6,5000,100,0.000281
INSTANT_WAIT,6,5000,100,0.000234
INSTANT_TEST,6,5000,100,0.000411
BLOCKING,2,5000,100,0.000445
INSTANT_WAIT,2,5000,100,0.000379
INSTANT_TEST,2,5000,100,0.000507
BLOCKING,3,5000,100,0.000319
INSTANT_WAIT,3,5000,100,0.000300
INSTANT_TEST,3,5000,100,0.000407
BLOCKING,4,5000,100,0.000255
INSTANT_WAIT,4,5000,100,0.000255
INSTANT_TEST,4,5000,100,0.000339
BLOCKING,5,5000,100,0.000247
INSTANT_WAIT,5,5000,100,0.000210
INSTANT_TEST,5,5000,100,0.000347
BLOCKING,6,5000,100,0.000186
INSTANT_WAIT,6,5000,100,0.000279
INSTANT_TEST,6,5000,100,0.000481
