MODE,PROCESS_COUNT,BARSIZE,NUM_ITER,TIME_MS
INSTANT_TEST,2,500,100,0.000091
BLOCKING,3,500,100,0.000084
INSTANT_WAIT,3,500,100,0.000073
INSTANT_TEST,3,500,100,0.000181
BLOCKING,4,500,100,0.000080
INSTANT_WAIT,4,500,100,0.000070
INSTANT_TEST,4,500,100,0.000152
BLOCKING,5,500,100,0.000082
INSTANT_WAIT,5,500,100,0.000069
INSTANT_TEST,5,500,100,0.000292
BLOCKING,6,500,100,0.000106
INSTANT_WAIT,6,500,100,0.000115
INSTANT_TEST,6,500,100,0.000199
BLOCKING,2,500,100,0.000068
INSTANT_WAIT,2,500,100,0.000073
INSTANT_TEST,2,500,100,0.000088
BLOCKING,3,500,100,0.000083
INSTANT_WAIT,3,500,100,0.000072
INSTANT_TEST,3,500,100,0.000168
BLOCKING,4,500,100,0.000115
INSTANT_WAIT,4,500,100,0.000079
INSTANT_TEST,4,500,100,0.000182
BLOCKING,5,500,100,0.000094
INSTANT_WAIT,5,500,100,0.000089
INSTANT_TEST,5,500,100,0.000260
BLOCKING,6,500,100,0.000095
INSTANT_WAIT,6,500,100,0.000087
INSTANT_TEST,6,500,100,0.000257
BLOCKING,2,500,100,0.000067
INSTANT_WAIT,2,500,100,0.000059
INSTANT_TEST,2,500,100,0.000089
BLOCKING,3,500,100,0.000081
INSTANT_WAIT,3,500,100,0.000073
INSTANT_TEST,3,500,100,0.000167
BLOCKING,4,500,100,0.000086
INSTANT_WAIT,4,500,100,0.000064
INSTANT_TEST,4,500,100,0.000152
BLOCKING,5,500,100,0.000148
INSTANT_WAIT,5,500,100,0.000069
INSTANT_TEST,5,500,100,0.000197
BLOCKING,6,500,100,0.000080
INSTANT_WAIT,6,500,100,0.000066
INSTANT_TEST,6,500,100,0.000219
BLOCKING,2,500,100,0.000066
INSTANT_WAIT,2,500,100,0.000059
INSTANT_TEST,2,500,100,0.000088
BLOCKING,3,500,100,0.000083
INSTANT_WAIT,3,500,100,0.000069
INSTANT_TEST,3,500,100,0.000177
BLOCKING,4,500,100,0.000111
INSTANT_WAIT,4,500,100,0.000144
INSTANT_TEST,4,500,100,0.000265
BLOCKING,5,500,100,0.000088
INSTANT_WAIT,5,500,100,0.000079
INSTANT_TEST,5,500,100,0.000327
BLOCKING,6,500,100,0.000105
INSTANT_WAIT,6,500,100,0.000155
INSTANT_TEST,6,500,100,0.000263
BLOCKING,2,500,100,0.000082
INSTANT_WAIT,2,500,100,0.000059
INSTANT_TEST,2,500,100,0.000094
BLOCKING,3,500,100,0.000089
INSTANT_WAIT,3,500,100,0.000085
INSTANT_TEST,3,500,100,0.000297
BLOCKING,4,500,100,0.000112
INSTANT_WAIT,4,500,100,0.000111
INSTANT_TEST,4,500,100,0.000160
BLOCKING,5,500,100,0.000083
INSTANT_WAIT,5,500,100,0.000106
INSTANT_TEST,5,500,100,0.000288
BLOCKING,6,500,100,0.000130
INSTANT_WAIT,6,500,100,0.000113
INSTANT_TEST,6,500,100,0.000326
BLOCKING,2,500,100,0.000068
INSTANT_WAIT,2,500,100,0.000061
INSTANT_TEST,2,500,100,0.000089
BLOCKING,3,500,100,0.000083
INSTANT_WAIT,3,500,100,0.000064
INSTANT_TEST,3,500,100,0.000182
BLOCKING,4,500,100,0.000080
INSTANT_WAIT,4,500,100,0.000064
INSTANT_TEST,4,500,100,0.000213
BLOCKING,5,500,100,0.000093
INSTANT_WAIT,5,500,100,0.000114
INSTANT_TEST,5,500,100,0.000202
BLOCKING,6,500,100,0.000106
INSTANT_WAIT,6,500,100,0.000078
INSTANT_TEST,6,500,100,0.000205
