,MODE,VEC_SIZE,TIME_MS
254,BLOCK16,8923333,0.6334622
255,BLOCK16,9369499,0.662385
256,BLOCK16,9837973,0.8706728
257,BLOCK16,10329871,0.7378622
258,BLOCK16,10846364,0.7986142
259,BLOCK16,11388682,0.9867142
260,BLOCK16,11958116,0.9914726
261,BLOCK16,12556021,0.9975042000000001
262,BLOCK16,13183822,1.1044232
263,BLOCK16,13843013,1.1463298
264,BLOCK16,14535163,1.3237695999999999
265,BLOCK16,15261921,1.2361146
266,BLOCK16,16025017,1.2591604
267,BLOCK16,16826267,1.4631368
268,BLOCK16,17667580,1.3783276
269,BLOCK16,18550958,1.481602
270,BLOCK16,19478505,1.5667914
271,BLOCK16,20452430,1.7756181999999998
272,BLOCK16,21475051,1.7807648
273,BLOCK16,22548803,1.8545188
274,BLOCK16,23676243,1.9347097999999998
275,BLOCK16,24860055,2.4129904
276,BLOCK16,26103057,2.5089036
277,BLOCK16,27408209,2.5168608
278,BLOCK16,28778619,2.7983067999999998
279,BLOCK16,30217549,2.7323762
280,BLOCK16,31728426,2.9721164
281,BLOCK16,33314847,3.3821688
282,BLOCK16,34980589,3.474273
283,BLOCK16,36729618,3.5169380000000006
284,BLOCK16,38566098,3.688026
285,BLOCK16,40494402,3.8647086
286,BLOCK16,42519122,4.1826723999999995
287,BLOCK16,44645078,4.2938046
288,BLOCK16,46877331,4.336557
289,BLOCK16,49221197,4.560485
290,BLOCK16,51682256,4.7729146
291,BLOCK16,54266368,4.9808094
292,BLOCK16,56979686,5.1810828
293,BLOCK16,59828670,5.365786
294,BLOCK16,62820103,5.945631199999999
295,BLOCK16,65961108,5.9781606
296,BLOCK16,69259163,6.3093112
297,BLOCK16,72722121,6.582691199999999
298,BLOCK16,76358227,6.8926848000000005
299,BLOCK16,80176138,7.4982708
300,BLOCK16,84184944,7.4374262
301,BLOCK16,88394191,7.967697200000001
302,BLOCK16,92813900,8.1270592
303,BLOCK16,97454594,8.6917574
304,BLOCK2,10,4.2000000000000004e-05
305,BLOCK2,15,3.2000000000000005e-05
306,BLOCK2,20,4e-05
307,BLOCK2,25,5.2000000000000004e-05
308,BLOCK2,30,6.6e-05
309,BLOCK2,35,3.0200000000000002e-05
310,BLOCK2,40,4.62e-05
311,BLOCK2,45,4.6e-05
312,BLOCK2,50,4.6e-05
313,BLOCK2,55,4.8e-05
314,BLOCK2,60,4.82e-05
315,BLOCK2,65,3.8e-05
316,BLOCK2,70,6.6e-05
317,BLOCK2,75,7.6e-05
318,BLOCK2,80,4.8e-05
319,BLOCK2,85,4.4e-05
320,BLOCK2,90,4.4200000000000004e-05
321,BLOCK2,95,6.02e-05
322,BLOCK2,100,5.8200000000000005e-05
323,BLOCK2,105,0.0001126
324,BLOCK2,110,7.02e-05
325,BLOCK2,115,0.000116
326,BLOCK2,120,6.24e-05
327,BLOCK2,125,7.02e-05
328,BLOCK2,131,6.440000000000001e-05
329,BLOCK2,137,0.0001302
330,BLOCK2,143,6.2e-05
331,BLOCK2,150,8.42e-05
332,BLOCK2,157,7.24e-05
333,BLOCK2,164,7e-05
334,BLOCK2,172,9.84e-05
335,BLOCK2,180,8.6e-05
336,BLOCK2,188,7.62e-05
337,BLOCK2,197,8.999999999999999e-05
338,BLOCK2,206,7.8e-05
339,BLOCK2,216,0.00010040000000000001
340,BLOCK2,226,8.82e-05
341,BLOCK2,237,9.2e-05
342,BLOCK2,248,9.24e-05
343,BLOCK2,260,0.00012000000000000002
344,BLOCK2,272,0.0001024
345,BLOCK2,285,0.00010400000000000001
346,BLOCK2,299,0.0001082
347,BLOCK2,313,0.00011999999999999999
348,BLOCK2,328,0.0001242
349,BLOCK2,344,0.00013440000000000001
350,BLOCK2,361,0.0001764
351,BLOCK2,379,0.000128
352,BLOCK2,397,0.0001562
353,BLOCK2,416,0.000156
354,BLOCK2,436,0.0001862
355,BLOCK2,457,0.0001642
356,BLOCK2,479,0.0001606
357,BLOCK2,502,0.00016820000000000002
358,BLOCK2,527,0.0001882
359,BLOCK2,553,0.00023679999999999998
360,BLOCK2,580,0.00018600000000000002
361,BLOCK2,609,0.00021420000000000003
362,BLOCK2,639,0.00021020000000000001
363,BLOCK2,670,0.0002628
364,BLOCK2,703,0.00026480000000000004
365,BLOCK2,738,0.00026680000000000003
366,BLOCK2,774,0.00025699999999999996
367,BLOCK2,812,0.0002922
368,BLOCK2,852,0.0003082
369,BLOCK2,894,0.000303
370,BLOCK2,938,0.00034260000000000003
371,BLOCK2,984,0.0003544
372,BLOCK2,1033,0.0003124
373,BLOCK2,1084,0.0003528
374,BLOCK2,1138,0.00041660000000000004
375,BLOCK2,1194,0.0003706
376,BLOCK2,1253,0.0003786
377,BLOCK2,1315,0.000405
378,BLOCK2,1380,0.00048279999999999997
379,BLOCK2,1448,0.00043879999999999993
380,BLOCK2,1520,0.0004788
381,BLOCK2,1596,0.000479
382,BLOCK2,1675,0.0005608
383,BLOCK2,1758,0.0006349999999999999
384,BLOCK2,1845,0.0006472
385,BLOCK2,1937,0.000653
386,BLOCK2,2033,0.0006492
387,BLOCK2,2134,0.0006492000000000001
388,BLOCK2,2240,0.0007535999999999999
389,BLOCK2,2351,0.0008255999999999999
390,BLOCK2,2468,0.0008136
391,BLOCK2,2591,0.0008935999999999999
392,BLOCK2,2720,0.0008071999999999999
393,BLOCK2,2856,0.0009016
394,BLOCK2,2998,0.0008956000000000001
395,BLOCK2,3147,0.001006
396,BLOCK2,3304,0.0011300000000000001
397,BLOCK2,3469,0.0010799999999999998
398,BLOCK2,3642,0.0011481999999999998
399,BLOCK2,3824,0.0011442
400,BLOCK2,4015,0.0012822
401,BLOCK2,4215,0.0013285999999999999
402,BLOCK2,4425,0.0013706
403,BLOCK2,4646,0.0013906
404,BLOCK2,4878,0.0015528
405,BLOCK2,5121,0.0015970000000000001
406,BLOCK2,5377,0.0018234
407,BLOCK2,5645,0.0018453999999999999
408,BLOCK2,5927,0.0019338
409,BLOCK2,6223,0.0019236
410,BLOCK2,6534,0.0021484
411,BLOCK2,6860,0.0022502
412,BLOCK2,7202,0.0025668
413,BLOCK2,7562,0.0024524
414,BLOCK2,7940,0.0025752
415,BLOCK2,8337,0.0028194
416,BLOCK2,8753,0.0029255999999999996
417,BLOCK2,9190,0.0029896
418,BLOCK2,9649,0.003186
419,BLOCK2,10131,0.0031258
420,BLOCK2,10637,0.0037536
421,BLOCK2,11168,0.003615
422,BLOCK2,11726,0.0039616
423,BLOCK2,12312,0.003659
424,BLOCK2,12927,0.0043622
425,BLOCK2,13573,0.0043982
426,BLOCK2,14251,0.004586600000000001
427,BLOCK2,14963,0.004606600000000001
428,BLOCK2,15711,0.0046088
429,BLOCK2,16496,0.0048852
430,BLOCK2,17320,0.00535
431,BLOCK2,18186,0.0058952
432,BLOCK2,19095,0.0061738
433,BLOCK2,20049,0.0068032
434,BLOCK2,21051,0.0067786
435,BLOCK2,22103,0.007129399999999999
436,BLOCK2,23208,0.0071354
437,BLOCK2,24368,0.0078826
438,BLOCK2,25586,0.0161806
439,BLOCK2,26865,0.0086442
440,BLOCK2,28208,0.008289399999999999
441,BLOCK2,29618,0.0100106
442,BLOCK2,31098,0.009093
443,BLOCK2,32652,0.010524
444,BLOCK2,34284,0.010057
445,BLOCK2,35998,0.0116282
446,BLOCK2,37797,0.01167
447,BLOCK2,39686,0.0128564
448,BLOCK2,41670,0.013435800000000001
449,BLOCK2,43753,0.014772000000000002
450,BLOCK2,45940,0.013427600000000001
451,BLOCK2,48236,0.0162184
452,BLOCK2,50647,0.017926
453,BLOCK2,53179,0.0176492
454,BLOCK2,55837,0.020583
