,MODE,MAT_SIDE,TIME_MS
196,COL_ORDER_ALT,2134,1.3497075
197,COL_ORDER_ALT,2240,1.4306473
198,COL_ORDER_ALT,2351,1.709356
199,COL_ORDER_ALT,2468,1.7323270000000002
200,COL_ORDER_ALT,2591,1.9680269
201,COL_ORDER_ALT,2720,2.2266527
202,COL_ORDER_ALT,2856,2.5428321
203,COL_ORDER_ALT,2998,2.7967991999999997
204,COL_ORDER_ALT,3147,3.0468835
205,COL_ORDER_ALT,3304,3.2728153
206,COL_ORDER_ALT,3469,3.7161348000000003
207,COL_ORDER_ALT,3642,4.3563443
208,COL_ORDER_ALT,3824,4.9947205
209,COL_ORDER_ALT,4015,5.410243299999999
210,COL_ORDER_ALT,4215,6.4339741
211,COL_ORDER_ALT,4425,7.061428000000001
212,COL_ORDER_ALT,4646,7.8419734000000005
213,COL_ORDER_ALT,4878,9.0117305
214,COL_ORDER_ALT,5121,9.7646049
215,COL_ORDER_ALT,5377,10.7360843
216,COL_ORDER_ALT,5645,12.2453613
217,COL_ORDER_ALT,5927,13.8004968
218,COL_ORDER_ALT,6223,13.5060538
219,COL_ORDER_ALT,6534,15.2206287
220,COL_ORDER_ALT,6860,16.852849499999998
221,COL_ORDER_ALT,7202,18.6661159
222,COL_ORDER_ALT,7562,21.0420612
223,COL_ORDER_ALT,7940,24.3878809
224,COL_ORDER_ALT,8337,26.108303799999998
225,COL_ORDER_ALT,8753,28.112474199999998
226,ROW_ORDER,10,0.0001407
227,ROW_ORDER,15,0.0002011
228,ROW_ORDER,20,0.0002957
229,ROW_ORDER,25,0.0003761
230,ROW_ORDER,30,0.0005863
231,ROW_ORDER,35,0.0007253000000000001
232,ROW_ORDER,40,0.0009888
233,ROW_ORDER,45,0.0011172
234,ROW_ORDER,50,0.0017802000000000002
235,ROW_ORDER,55,0.0016806999999999998
236,ROW_ORDER,60,0.001886
237,ROW_ORDER,65,0.0023205
238,ROW_ORDER,70,0.0025908
239,ROW_ORDER,75,0.0029643
240,ROW_ORDER,80,0.0033383
241,ROW_ORDER,85,0.0041853
242,ROW_ORDER,90,0.0046118
243,ROW_ORDER,95,0.0046006
244,ROW_ORDER,100,0.0054275999999999994
245,ROW_ORDER,105,0.006710000000000001
246,ROW_ORDER,110,0.0058641
247,ROW_ORDER,115,0.0070527
248,ROW_ORDER,120,0.0077238
249,ROW_ORDER,125,0.0086423
250,ROW_ORDER,131,0.0181966
251,ROW_ORDER,137,0.0113611
252,ROW_ORDER,143,0.0111213
253,ROW_ORDER,150,0.0125157
254,ROW_ORDER,157,0.0135398
255,ROW_ORDER,164,0.0160663
256,ROW_ORDER,172,0.0169676
257,ROW_ORDER,180,0.0182581
258,ROW_ORDER,188,0.020976
259,ROW_ORDER,197,0.021176
260,ROW_ORDER,206,0.0270079
261,ROW_ORDER,216,0.0298965
262,ROW_ORDER,226,0.030913299999999998
263,ROW_ORDER,237,0.0340598
264,ROW_ORDER,248,0.0379666
265,ROW_ORDER,260,0.043685600000000005
266,ROW_ORDER,272,0.047013099999999995
267,ROW_ORDER,285,0.0490962
268,ROW_ORDER,299,0.0585007
269,ROW_ORDER,313,0.0605438
270,ROW_ORDER,328,0.0718805
271,ROW_ORDER,344,0.07361870000000001
272,ROW_ORDER,361,0.0813103
273,ROW_ORDER,379,0.09024
274,ROW_ORDER,397,0.0946347
275,ROW_ORDER,416,0.1119078
276,ROW_ORDER,436,0.1263629
277,ROW_ORDER,457,0.1380428
278,ROW_ORDER,479,0.1474265
279,ROW_ORDER,502,0.1529906
280,ROW_ORDER,527,0.1889157
281,ROW_ORDER,553,0.20349979999999998
282,ROW_ORDER,580,0.19989300000000002
283,ROW_ORDER,609,0.24388550000000003
284,ROW_ORDER,639,0.25969030000000004
285,ROW_ORDER,670,0.2764998
286,ROW_ORDER,703,0.300809
287,ROW_ORDER,738,0.3229255
288,ROW_ORDER,774,0.3535715
289,ROW_ORDER,812,0.3861618
290,ROW_ORDER,852,0.4255305
291,ROW_ORDER,894,0.4646186
292,ROW_ORDER,938,0.5322695
293,ROW_ORDER,984,0.5684395
294,ROW_ORDER,1033,0.6655938
295,ROW_ORDER,1084,0.6976199000000001
296,ROW_ORDER,1138,0.806817
297,ROW_ORDER,1194,0.8750714
298,ROW_ORDER,1253,0.9475735999999999
299,ROW_ORDER,1315,1.0387532
300,ROW_ORDER,1380,1.1517785
301,ROW_ORDER,1448,1.2060339
302,ROW_ORDER,1520,1.4715044000000002
303,ROW_ORDER,1596,1.5297981999999999
304,ROW_ORDER,1675,1.5547236
305,ROW_ORDER,1758,1.7131037
306,ROW_ORDER,1845,1.8532657000000001
307,ROW_ORDER,1937,2.0738928999999997
308,ROW_ORDER,2033,2.2737735999999997
309,ROW_ORDER,2134,2.5156673
310,ROW_ORDER,2240,2.8065489
311,ROW_ORDER,2351,3.0176285
312,ROW_ORDER,2468,3.5220899
313,ROW_ORDER,2591,3.702449
314,ROW_ORDER,2720,4.2257432999999995
315,ROW_ORDER,2856,4.4758935
316,ROW_ORDER,2998,5.0089121
317,ROW_ORDER,3147,5.4421889
318,ROW_ORDER,3304,6.0712557
319,ROW_ORDER,3469,6.7194065
