MODE,MAX_NUMBER,NUM_THREADS,PRIME_COUNT,TIME_MS
NAIVE_PARALLEL,20,3,8,0.128644
NAIVE_PARALLEL,20,4,8,0.142085
NAIVE_PARALLEL,20,5,6,0.182892
NAIVE_PARALLEL,20,6,5,0.247477
NAIVE_PARALLEL,20,7,7,0.273044
NAIVE_PARALLEL,20,8,4,0.319335
NAIVE_PARALLEL,20,9,5,0.384503
NAIVE_PARALLEL,20,10,2,0.429386
NAIVE_PARALLEL,20,11,5,0.478760
NAIVE_PARALLEL,20,12,8,3.478039
SERIAL,25,1,9,0.000126
SERIAL,25,1,9,0.000137
SERIAL,25,1,9,0.000155
SERIAL,25,1,9,0.000136
SERIAL,25,1,9,0.000126
NAIVE_PARALLEL,25,1,9,0.002733
NAIVE_PARALLEL,25,2,9,0.069525
NAIVE_PARALLEL,25,3,9,0.096299
NAIVE_PARALLEL,25,4,7,0.158335
NAIVE_PARALLEL,25,5,6,0.187492
NAIVE_PARALLEL,25,6,8,0.229349
NAIVE_PARALLEL,25,7,4,0.269776
NAIVE_PARALLEL,25,8,5,0.334925
NAIVE_PARALLEL,25,9,4,0.380565
NAIVE_PARALLEL,25,10,4,0.428452
NAIVE_PARALLEL,25,11,6,0.478070
NAIVE_PARALLEL,25,12,8,3.401183
NAIVE_PARALLEL,25,1,9,0.001857
NAIVE_PARALLEL,25,2,9,0.058001
NAIVE_PARALLEL,25,3,9,0.111110
NAIVE_PARALLEL,25,4,7,0.142600
NAIVE_PARALLEL,25,5,8,0.184331
NAIVE_PARALLEL,25,6,7,0.229329
NAIVE_PARALLEL,25,7,4,0.269368
NAIVE_PARALLEL,25,8,7,0.325813
NAIVE_PARALLEL,25,9,6,0.392343
NAIVE_PARALLEL,25,10,5,0.451549
NAIVE_PARALLEL,25,11,6,0.481552
NAIVE_PARALLEL,25,12,8,3.705488
NAIVE_PARALLEL,25,1,9,0.001624
NAIVE_PARALLEL,25,2,9,0.053742
NAIVE_PARALLEL,25,3,10,0.103427
NAIVE_PARALLEL,25,4,7,0.142775
NAIVE_PARALLEL,25,5,9,0.200095
NAIVE_PARALLEL,25,6,9,0.291639
NAIVE_PARALLEL,25,7,8,0.277818
NAIVE_PARALLEL,25,8,7,0.495137
NAIVE_PARALLEL,25,9,4,0.370763
NAIVE_PARALLEL,25,10,6,0.433081
NAIVE_PARALLEL,25,11,4,0.484868
NAIVE_PARALLEL,25,12,8,3.503462
NAIVE_PARALLEL,25,1,9,0.001663
NAIVE_PARALLEL,25,2,9,0.057087
NAIVE_PARALLEL,25,3,9,0.095268
NAIVE_PARALLEL,25,4,7,0.138000
NAIVE_PARALLEL,25,5,11,0.189563
NAIVE_PARALLEL,25,6,7,0.230934
NAIVE_PARALLEL,25,7,7,0.275077
NAIVE_PARALLEL,25,8,5,0.313578
NAIVE_PARALLEL,25,9,5,0.375683
NAIVE_PARALLEL,25,10,3,0.428063
NAIVE_PARALLEL,25,11,6,0.454875
NAIVE_PARALLEL,25,12,12,3.828996
NAIVE_PARALLEL,25,1,9,0.001527
NAIVE_PARALLEL,25,2,9,0.054752
NAIVE_PARALLEL,25,3,10,0.091611
NAIVE_PARALLEL,25,4,7,0.137670
NAIVE_PARALLEL,25,5,7,0.263765
NAIVE_PARALLEL,25,6,5,0.259769
NAIVE_PARALLEL,25,7,8,0.248118
NAIVE_PARALLEL,25,8,5,0.363818
NAIVE_PARALLEL,25,9,4,0.351740
NAIVE_PARALLEL,25,10,6,0.512030
NAIVE_PARALLEL,25,11,5,0.535049
NAIVE_PARALLEL,25,12,10,3.859675
SERIAL,30,1,10,0.000184
SERIAL,30,1,10,0.000136
SERIAL,30,1,10,0.000146
SERIAL,30,1,10,0.000175
SERIAL,30,1,10,0.000175
NAIVE_PARALLEL,30,1,10,0.002859
NAIVE_PARALLEL,30,2,10,0.059635
NAIVE_PARALLEL,30,3,10,0.110779
NAIVE_PARALLEL,30,4,7,0.133575
NAIVE_PARALLEL,30,5,5,0.179128
NAIVE_PARALLEL,30,6,12,0.297152
NAIVE_PARALLEL,30,7,6,0.288400
NAIVE_PARALLEL,30,8,6,0.308920
NAIVE_PARALLEL,30,9,5,0.360347
NAIVE_PARALLEL,30,10,4,0.392216
NAIVE_PARALLEL,30,11,6,0.437516
NAIVE_PARALLEL,30,12,14,3.382558
NAIVE_PARALLEL,30,1,10,0.001478
NAIVE_PARALLEL,30,2,10,0.049890
NAIVE_PARALLEL,30,3,12,0.087701
NAIVE_PARALLEL,30,4,8,0.139604
NAIVE_PARALLEL,30,5,8,0.175112
NAIVE_PARALLEL,30,6,9,0.214577
NAIVE_PARALLEL,30,7,12,0.349037
NAIVE_PARALLEL,30,8,6,0.373301
NAIVE_PARALLEL,30,9,8,0.480734
NAIVE_PARALLEL,30,10,8,0.380934
NAIVE_PARALLEL,30,11,8,0.426720
NAIVE_PARALLEL,30,12,15,3.564195
NAIVE_PARALLEL,30,1,10,0.002820
NAIVE_PARALLEL,30,2,10,0.053177
NAIVE_PARALLEL,30,3,12,0.089092
NAIVE_PARALLEL,30,4,11,0.168303
NAIVE_PARALLEL,30,5,10,0.174897
NAIVE_PARALLEL,30,6,9,0.212301
NAIVE_PARALLEL,30,7,7,0.251386
NAIVE_PARALLEL,30,8,5,0.311263
NAIVE_PARALLEL,30,9,6,0.335138
NAIVE_PARALLEL,30,10,7,0.371803
NAIVE_PARALLEL,30,11,5,0.427975
NAIVE_PARALLEL,30,12,12,3.127895
NAIVE_PARALLEL,30,1,10,0.001595
NAIVE_PARALLEL,30,2,10,0.053935
NAIVE_PARALLEL,30,3,6,0.086214
NAIVE_PARALLEL,30,4,8,0.157636
NAIVE_PARALLEL,30,5,8,0.175714
NAIVE_PARALLEL,30,6,9,0.244597
NAIVE_PARALLEL,30,7,8,0.262920
NAIVE_PARALLEL,30,8,6,0.290938
NAIVE_PARALLEL,30,9,6,0.356904
NAIVE_PARALLEL,30,10,6,0.451160
NAIVE_PARALLEL,30,11,8,0.428666
NAIVE_PARALLEL,30,12,15,3.409166
NAIVE_PARALLEL,30,1,10,0.001556
NAIVE_PARALLEL,30,2,10,0.051446
NAIVE_PARALLEL,30,3,6,0.084405
NAIVE_PARALLEL,30,4,7,0.134772
NAIVE_PARALLEL,30,5,7,0.173283
NAIVE_PARALLEL,30,6,8,0.229202
NAIVE_PARALLEL,30,7,5,0.377693
NAIVE_PARALLEL,30,8,8,0.297181
NAIVE_PARALLEL,30,9,9,0.350456
NAIVE_PARALLEL,30,10,7,0.400162
NAIVE_PARALLEL,30,11,8,0.427713
NAIVE_PARALLEL,30,12,4,2.833942
SERIAL,35,1,11,0.000146
SERIAL,35,1,11,0.000194
SERIAL,35,1,11,0.000185
SERIAL,35,1,11,0.000146
SERIAL,35,1,11,0.000156
NAIVE_PARALLEL,35,1,11,0.002334
NAIVE_PARALLEL,35,2,11,0.055443
NAIVE_PARALLEL,35,3,11,0.095005
NAIVE_PARALLEL,35,4,6,0.157100
NAIVE_PARALLEL,35,5,8,0.211668
NAIVE_PARALLEL,35,6,8,0.237469
NAIVE_PARALLEL,35,7,8,0.255140
NAIVE_PARALLEL,35,8,7,0.363040
NAIVE_PARALLEL,35,9,7,0.338854
NAIVE_PARALLEL,35,10,8,0.446308
NAIVE_PARALLEL,35,11,6,0.436563
NAIVE_PARALLEL,35,12,9,2.929055
NAIVE_PARALLEL,35,1,11,0.001507
NAIVE_PARALLEL,35,2,11,0.049784
NAIVE_PARALLEL,35,3,6,0.089228
NAIVE_PARALLEL,35,4,8,0.138078
NAIVE_PARALLEL,35,5,11,0.173001
NAIVE_PARALLEL,35,6,11,0.212340
NAIVE_PARALLEL,35,7,8,0.253389
NAIVE_PARALLEL,35,8,7,0.302687
NAIVE_PARALLEL,35,9,7,0.338319
NAIVE_PARALLEL,35,10,6,0.416500
NAIVE_PARALLEL,35,11,12,0.534933
NAIVE_PARALLEL,35,12,12,3.387577
NAIVE_PARALLEL,35,1,11,0.001527
NAIVE_PARALLEL,35,2,11,0.053284
NAIVE_PARALLEL,35,3,6,0.086991
NAIVE_PARALLEL,35,4,10,0.127439
NAIVE_PARALLEL,35,5,9,0.175792
NAIVE_PARALLEL,35,6,6,0.212446
NAIVE_PARALLEL,35,7,10,0.272606
NAIVE_PARALLEL,35,8,6,0.299418
NAIVE_PARALLEL,35,9,6,0.354803
NAIVE_PARALLEL,35,10,6,0.402933
NAIVE_PARALLEL,35,11,5,0.435833
