PROCESS_COUNT,ROW_COUNT,COL_COUNT,TIME_MS
6,15072,15072,0.117626
2,15280,15280,0.232401
3,15280,15280,0.172220
4,15280,15280,0.222127
5,15280,15280,0.138344
6,15280,15280,0.127785
2,15489,15489,0.235272
3,15489,15489,0.182329
4,15489,15489,0.155740
5,15489,15489,0.160371
6,15489,15489,0.121225
2,15698,15698,0.257570
3,15698,15698,0.252910
4,15698,15698,0.154372
5,15698,15698,0.136069
6,15698,15698,0.210525
2,15907,15907,0.259776
3,15907,15907,0.186396
4,15907,15907,0.236344
5,15907,15907,0.143074
6,15907,15907,0.137902
2,16117,16117,0.303989
3,16117,16117,0.201253
4,16117,16117,0.169698
5,16117,16117,0.215192
6,16117,16117,0.157902
2,16327,16327,0.257206
3,16327,16327,0.262554
4,16327,16327,0.167892
5,16327,16327,0.150351
6,16327,16327,0.222917
2,16537,16537,0.275728
3,16537,16537,0.201068
4,16537,16537,0.251063
5,16537,16537,0.156308
6,16537,16537,0.149460
2,16747,16747,0.350725
3,16747,16747,0.200874
4,16747,16747,0.177174
5,16747,16747,0.234781
6,16747,16747,0.154361
2,16958,16958,0.296514
3,16958,16958,0.293496
4,16958,16958,0.189037
5,16958,16958,0.160586
6,16958,16958,0.225575
2,17169,17169,0.281484
3,17169,17169,0.204837
4,17169,17169,0.255025
5,17169,17169,0.162205
6,17169,17169,0.155852
2,17380,17380,0.363503
3,17380,17380,0.220837
4,17380,17380,0.196989
5,17380,17380,0.253177
6,17380,17380,0.155824
2,17592,17592,0.312928
3,17592,17592,0.340984
4,17592,17592,0.187619
5,17592,17592,0.171975
6,17592,17592,0.250608
2,17804,17804,0.323910
3,17804,17804,0.219538
4,17804,17804,0.290482
5,17804,17804,0.188648
6,17804,17804,0.158440
2,18016,18016,0.419856
3,18016,18016,0.238051
4,18016,18016,0.206947
5,18016,18016,0.277116
6,18016,18016,0.174694
2,18228,18228,0.315425
3,18228,18228,0.352113
4,18228,18228,0.228715
5,18228,18228,0.199450
6,18228,18228,0.271146
2,18441,18441,0.352749
3,18441,18441,0.245716
4,18441,18441,0.314410
5,18441,18441,0.182534
6,18441,18441,0.179392
2,18654,18654,0.441579
3,18654,18654,0.253432
4,18654,18654,0.319919
5,18654,18654,0.203977
6,18654,18654,0.297664
2,18867,18867,0.359765
3,18867,18867,0.268193
4,18867,18867,0.329496
5,18867,18867,0.197612
6,18867,18867,0.180009
2,19080,19080,0.452831
3,19080,19080,0.264450
4,19080,19080,0.327244
5,19080,19080,0.190865
6,19080,19080,0.300251
2,19294,19294,0.354162
3,19294,19294,0.269786
4,19294,19294,0.326775
5,19294,19294,0.219293
6,19294,19294,0.200975
2,19508,19508,0.491343
3,19508,19508,0.280393
4,19508,19508,0.254369
5,19508,19508,0.337294
6,19508,19508,0.189016
2,19722,19722,0.472485
3,19722,19722,0.311481
4,19722,19722,0.232165
5,19722,19722,0.328358
6,19722,19722,0.196640
2,19936,19936,0.500813
3,19936,19936,0.301884
4,19936,19936,0.244559
5,19936,19936,0.326833
6,19936,19936,0.206465
2,20150,20150,0.384951
3,20150,20150,0.407269
4,20150,20150,0.268660
5,20150,20150,0.231636
6,20150,20150,0.206459
2,20365,20365,0.521209
3,20365,20365,0.297880
4,20365,20365,0.266034
5,20365,20365,0.367654
6,20365,20365,0.219941
2,20580,20580,0.421117
3,20580,20580,0.315311
4,20580,20580,0.284918
5,20580,20580,0.246476
6,20580,20580,0.341121
2,20795,20795,0.424612
3,20795,20795,0.338378
4,20795,20795,0.279170
5,20795,20795,0.244860
6,20795,20795,0.229599
2,21010,21010,0.559479
3,21010,21010,0.355702
4,21010,21010,0.301975
5,21010,21010,0.264360
6,21010,21010,0.226378
2,21226,21226,0.427758
3,21226,21226,0.337812
4,21226,21226,0.288866
5,21226,21226,0.250524
6,21226,21226,0.235498
2,21442,21442,0.441267
3,21442,21442,0.357558
4,21442,21442,0.279740
5,21442,21442,0.264431
6,21442,21442,0.233006
2,21658,21658,0.469327
3,21658,21658,0.349555
4,21658,21658,0.286979
5,21658,21658,0.271033
6,21658,21658,0.241702
2,21874,21874,0.468834
3,21874,21874,0.429503
4,21874,21874,0.302270
5,21874,21874,0.268366
6,21874,21874,0.243621
2,22090,22090,0.468820
3,22090,22090,0.352891
4,22090,22090,0.289748
5,22090,22090,0.261171
6,22090,22090,0.247599
2,22307,22307,0.486655
3,22307,22307,0.483954
4,22307,22307,0.311114
5,22307,22307,0.273729
6,22307,22307,0.252178
2,22524,22524,0.487043
3,22524,22524,0.370467
4,22524,22524,0.352432
5,22524,22524,0.273190
6,22524,22524,0.263433
2,22741,22741,0.497665
3,22741,22741,0.525754
4,22741,22741,0.331198
5,22741,22741,0.390987
6,22741,22741,0.257446
2,22958,22958,0.539738
3,22958,22958,0.387594
4,22958,22958,0.494864
5,22958,22958,0.288848
6,22958,22958,0.429093
2,23176,23176,0.524765
3,23176,23176,0.540293
4,23176,23176,0.337218
5,23176,23176,0.459496
6,23176,23176,0.276460
2,23394,23394,0.557388
3,23394,23394,0.386393
4,23394,23394,0.491397
5,23394,23394,0.321454
6,23394,23394,0.437963
2,23612,23612,0.544057
3,23612,23612,0.584534
4,23612,23612,0.348205
5,23612,23612,0.466161
6,23612,23612,0.295437
